STID,MP05,MP25,MP60,VWC05,VWC25,VWC60,Se05,Se25,Se60,K05,K25,K60
#,kPa,kPa,kPa,cm^3/cm^3,cm^3/cm^3,cm^3/cm^3,-,-,-,cm/d,cm/d,cm/d
ACME,-92.7254871,-131.8712769,-166.0501216,0.201460726,0.217055967,0.19766195,0.440438655,0.464061771,0.46019984,0.042972328,0.044165868,0.023700312
ADAX,-132.9098683,-120.7834025,,0.226660403,0.229773911,,0.398478196,0.648520523,,0.040276544,0.028946482,
ALTU,-203.2474058,-171.8902962,,0.242631395,0.272065131,,0.537370991,0.595563961,,0.012562316,0.014953984,
ALV2,-257.7341643,-208.4635538,,0.250848821,0.285072275,,0.600148844,0.630579586,,0.055674297,0.022607365,
ANT2,-110.4563211,-83.15850776,-80.89201114,0.248361942,0.19679783,0.240932915,0.65795291,0.582061481,0.646443051,0.118442756,0.048941713,0.04194376
ANTL,-98.45510371,-39.9760155,-16.16778739,0.077992381,0.096257666,0.165111134,0.150207133,0.206692425,0.58957804,0.022359816,0.032403415,0.060831056
APAC,-118.0719437,-58.71255774,-154.4870459,0.156080821,0.212118076,0.252318475,0.346462071,0.490473454,0.588308661,0.014050904,0.031507589,0.020286469
ARD2,-140.4884437,-83.25028275,-149.1729813,0.211587049,0.300968729,0.309823929,0.384742909,0.677053513,0.692243272,0.021402707,0.034714358,0.010370531
ARNE,-144.6303086,-123.1349382,-158.2850663,0.196871563,0.196211212,0.173786724,0.477228547,0.40110541,0.338423715,0.015905132,0.010608442,0.005591023
BEAV,-184.8493375,-94.32822036,-153.3021656,0.20112126,0.222941691,0.159200095,0.456997862,0.45584451,0.245260229,0.011089038,0.009540139,0.00707012
BESS,-226.4171888,-200.2673414,,0.198171911,0.169407315,,0.413038009,0.3413177,,0.012276536,0.017021718,
BIXB,-45.45680512,-39.42052055,-63.73491252,0.336159286,0.223136679,0.25736398,0.732139497,0.617705798,0.696504554,0.147153242,0.065302947,0.10647477
BLAC,-120.5340761,-96.24576652,-124.3459016,0.255389451,0.33080078,0.300117217,0.56521211,0.695240159,0.710797662,0.026156809,0.061756884,0.025756528
BOIS,-302.1621327,-308.3604441,-306.4310097,0.19930115,0.252797657,0.267468926,0.270962501,0.463729826,0.550055829,0.007989386,0.003359308,0.002636375
BOWL,-105.2670169,-122.8708552,-151.3260206,0.224266701,0.243368941,0.278612897,0.499426784,0.639003016,0.686108041,0.038860746,0.04706762,0.025053148
BREC,-157.458133,-158.7765938,-207.7466308,0.256912012,0.303758517,0.329424588,0.547966974,0.575023018,0.691371162,0.029158468,0.010593834,0.006807073
BRIS,-62.39808629,-59.99564163,-44.49232941,0.225137127,0.245544963,0.266432055,0.46761011,0.651051715,0.691060408,0.030067549,0.069567723,0.089867623
BROK,-92.89522398,,,0.229180086,,,0.617745063,,,0.105306491,,
BUFF,-189.3886742,-157.882015,-170.3346389,0.1736067,0.198228359,0.216083323,0.414554362,0.493218983,0.437558004,0.012757742,0.021568955,0.010870146
BURB,-26.46302071,,,0.341040301,,,0.775508825,,,0.13853328,,
BURN,-72.62522216,-54.53146179,-99.50008482,0.158315737,0.200753351,0.114538058,0.44829309,0.557880712,0.297468631,0.028883984,0.045179936,0.021304804
BUTL,-151.5790146,-165.1704458,-208.2349803,0.152640287,0.235894209,0.281595132,0.198133384,0.493051224,0.60462357,0.024051852,0.0239934,0.009060025
BYAR,-72.16145307,-97.8004446,-84.31268023,0.215967248,0.247771507,0.228558607,0.575124625,0.619225879,0.622155425,0.063005338,0.041837246,0.020000866
CAMA,-179.9704847,-169.933917,,0.155036743,0.122486587,,0.363744113,0.252147483,,0.007828122,0.008186668,
CARL,-85.70972892,-151.5102373,-255.3989005,0.19898323,0.273676799,0.257024901,0.444982276,0.593721079,0.569394988,0.023936665,0.049255644,0.018066866
CENT,-78.6197208,-63.56813019,-52.19292874,0.248280174,0.196981255,0.311753719,0.648597533,0.512287825,0.801095104,0.078049124,0.041180125,0.076924869
CHAN,-95.74494006,-140.558053,-76.18276493,0.1832118,0.221711937,,0.445667043,0.593108702,,0.035297132,0.035356422,
CHER,-151.9888543,-164.556323,-193.1870618,0.162743656,0.158334409,0.149571031,0.412927546,0.402266696,0.322293884,0.011220538,0.0064788,0.005271295
CHEY,-161.6745637,-187.2083155,-217.9801057,0.192822498,0.193434498,0.228931592,0.455096147,0.38256314,0.45511618,0.015196563,0.019237575,0.01154936
CHIC,-20.63891994,,,0.385246551,,,0.765987089,,,0.139356491,,
CLAR,,,,,,,,,,,,
CLAY,-48.72872022,,,0.263511395,,,0.581278486,,,0.06634266,,
CLOU,-52.96393844,-58.98754498,,0.302620112,0.255561154,,0.830123044,0.684637664,,0.306660132,0.101551456,
COOK,-79.0393869,,,0.283434415,,,0.5849067,,,0.046844855,,
COPA,-76.86941454,-92.27161896,-135.7379725,0.257094201,0.160041904,0.293569458,0.628840574,0.171025266,0.660905103,0.068653377,0.06312431,0.064307985
DURA,-108.2720723,-126.3191718,-144.6393458,0.270254461,0.213650614,0.387001082,0.629928262,0.500449593,0.781640401,0.069119678,0.038769721,0.01341309
ELKC,-68.8722236,-66.73942315,-95.04627846,0.218841722,0.230644273,0.223086128,0.522404919,0.485525063,0.489748133,0.019698438,0.027581746,0.032051025
ELRE,-86.77224991,-84.24504511,-137.1587218,0.397716693,0.291398049,0.290060807,0.838302619,0.683847164,0.657919069,0.347181879,0.087191997,0.016929495
ERIC,-159.0380386,-129.8602837,-231.7929622,0.13396536,0.179830526,0.180671806,0.296608132,0.435414603,0.397895394,0.01459916,0.023915352,0.008575263
